Year;WMI;Brand;ModelName;distinct_users;distinct_requests
2018;Z78;NOT FOUND;NOT FOUND;3;9
2018;z7c;NOT FOUND;NOT FOUND;52;112
2018;Z7F;NOT FOUND;NOT FOUND;1;1
2018;Z7G;FIAT PROFESSIONAL;NUOVO DUCATO [DUCATO RESTYL. BZ/DS (2001-2006)];23;39
2018;Z7G;FIAT PROFESSIONAL;NUOVO DUCATO [DUCATO RUSSIA 2008 (2008-2011)];1;1
2018;z7g;NOT FOUND;NOT FOUND;1;2
2018;Z7L;NOT FOUND;NOT FOUND;8;18
2018;Z7M;NOT FOUND;NOT FOUND;1;4
2018;z7q;NOT FOUND;NOT FOUND;1;7
2018;Z7t;NOT FOUND;NOT FOUND;1;1
2018;Z7X;NOT FOUND;NOT FOUND;16;30
2018;z80;NOT FOUND;NOT FOUND;1;1
2018;z81;NOT FOUND;NOT FOUND;1;1
2018;z84;NOT FOUND;NOT FOUND;3;3
2018;z88;FIAT;LINEA [LINEA (2007-....)];1;2
2018;z8b;NOT FOUND;NOT FOUND;5;5
2018;z8f;NOT FOUND;NOT FOUND;1;1
2018;Z8H;NOT FOUND;NOT FOUND;6;11
2018;z8i;NOT FOUND;NOT FOUND;1;1
2018;Z8J;NOT FOUND;NOT FOUND;1;3
2018;z8m;NOT FOUND;NOT FOUND;2;2
2018;Z8N;INFINITI;Q70/M;6;8
2018;Z8N;INFINITI;QX70/FX;34;71
2018;z8n;INFINITI;QX80/QX56;27;47
2018;z8n;NISSAN;ALMERA;609;2318
2018;Z8N;NISSAN;DATSUN MI-DO;18;23
2018;Z8N;NISSAN;DATSUN ON-DO;45;58
2018;Z8N;NISSAN;MURANO;50;94
2018;z8n;NISSAN;PATHFINDER;60;133
2018;z8n;NISSAN;PATROL;48;89
2018;z8n;NISSAN;QASHQAI;114;197
2018;z8n;NISSAN;SENTRA;161;315
2018;z8n;NISSAN;TEANA;442;1530
2018;z8n;NISSAN;TIIDA;24;34
2018;z8n;NISSAN;X-TRAIL;329;897
2018;z8n;NOT FOUND;NOT FOUND;386;1021
2018;Z8P;NOT FOUND;NOT FOUND;37;54
2018;z8r;NOT FOUND;NOT FOUND;1;1
2018;z8t;CITROEN;C4;9;21
2018;z8t;CITROEN;C4 (B7) - DS4;11;23
2018;z8t;CITROEN;C-CROSSER;3;4
2018;Z8T;CITROEN;С4 ДЛЯ РОССИИ (B73R);7;10
2018;z8t;MITSUBISHI;OUTLANDER;277;690
2018;Z8T;MITSUBISHI;PAJERO SPORT;61;112
2018;Z8T;NOT FOUND;NOT FOUND;44;114
2018;z8t;PEUGEOT;308;64;156
2018;z8t;PEUGEOT;4007;3;4
2018;Z8T;PEUGEOT;408 Россия;65;133
2018;z8u;NOT FOUND;NOT FOUND;5;12
2018;z8u;SSANGYONG;ACTYON SPORTS;2;5
2018;Z8U;SSANGYONG;ACTYON SPORTS(II);1;1
2018;z8u;SSANGYONG;KORANDO C;3;5
2018;z8u;SSANGYONG;KYRON;9;18
2018;z8u;SSANGYONG;REXTON;4;5
2018;Z8V;NOT FOUND;NOT FOUND;2;2
2018;z8x;NOT FOUND;NOT FOUND;4;10
2018;z91;NOT FOUND;NOT FOUND;5;6
2018;z92;NOT FOUND;NOT FOUND;3;5
2018;Z93;NOT FOUND;NOT FOUND;1;1
2018;Z94;HYUNDAI;Accent/Solaris;147;346
2018;z94;HYUNDAI;Creta;143;328
2018;Z94;HYUNDAI;SOLARIS 11 (RUSSIA PLANT-EUR) (2011-2014);810;5068
2018;Z94;HYUNDAI;SOLARIS 11 (RUSSIA PLANT-RUS) (2010-2014);309;880
2018;Z94;HYUNDAI;SOLARIS 14 (RUSSIA PLANT-EUR) (2014-2016);579;2363
2018;z94;HYUNDAI;SOLARIS 14 (RUSSIA PLANT-RUS) (2014-2016);357;933
2018;Z94;KIA;Rio;839;4556
2018;z94;NOT FOUND;NOT FOUND;179;376
2018;z95;NOT FOUND;NOT FOUND;5;14
2018;z99;NOT FOUND;NOT FOUND;1;1
2018;z9c;NOT FOUND;NOT FOUND;14;21
2018;z9f;NOT FOUND;NOT FOUND;1;1
2018;z9g;NOT FOUND;NOT FOUND;2;3
2018;z9m;NOT FOUND;NOT FOUND;2;5
